winner,total_rocks,total_turn,ai_1_reflection,ai_2_reflection,ai_1_warning,ai_2_warning,player_1_capture,player_2_capture,value_weight,value_func_player,value_func_opponent
2,40,20,16726.101636886597,1437.2363090515137,13,0,2,8,0.8,[4.1, 2.6, 2.3, 0.1, 4.9],[-1.4, -1.6, -1.7, -2.5, -5.0]
2,18,9,9592.620372772217,497.18189239501953,4,0,0,2,0.7,[0.5, 2.6, 1.2, 2.6, 3.2],[-4.5, -0.1, -1.9, -3.0, -1.8]
2,18,9,7307.702541351318,491.82653427124023,7,0,0,2,0.2,[4.2, 4.4, 4.3, 4.9, 4.8],[-4.1, -0.3, -1.2, -0.2, -1.8]
1,51,25,23171.27823829651,2626.4755725860596,18,0,4,6,0.3,[3.9, 1.0, 0.2, 0.5, 2.9],[-1.6, -1.6, -1.3, -0.0, -2.2]
1,27,13,11990.898847579956,1106.3239574432373,8,0,2,2,0.3,[3.2, 0.1, 0.6, 3.8, 4.0],[-0.1, -1.6, -2.3, -4.1, -3.5]
1,39,19,14615.333080291748,2127.171516418457,12,1,8,2,0.2,[4.3, 1.5, 0.3, 1.9, 0.2],[-3.8, -4.7, -3.6, -3.8, -4.9]
2,42,21,15814.516544342041,1553.0486106872559,11,0,0,8,0.5,[4.9, 3.8, 0.5, 2.6, 4.9],[-1.1, -1.3, -1.0, -3.0, -5.0]
1,17,8,2608.7183952331543,485.6550693511963,3,0,0,0,0.4,[3.2, 3.4, 0.3, 3.6, 2.9],[-3.7, -1.4, -1.8, -5.0, -2.7]
2,100,50,96619.98581886292,17949.019193649292,35,11,4,8,0.8,[4.3, 4.1, 0.9, 2.8, 1.3],[-1.1, -2.8, -2.3, -1.4, -4.0]
2,18,9,6168.128252029419,505.5248737335205,6,0,0,2,0.1,[2.9, 0.6, 3.1, 4.2, 2.6],[-3.0, -0.0, -3.7, -0.1, -1.4]
2,66,33,39008.64481925964,4073.906898498535,27,2,0,8,0.5,[2.7, 3.7, 0.1, 3.5, 4.3],[-4.2, -1.8, -1.3, -2.8, -4.1]
2,38,19,20901.194095611572,993.6425685882568,15,0,0,4,0.1,[1.5, 2.1, 0.6, 1.2, 1.8],[-1.8, -2.3, -3.6, -1.6, -4.6]
1,17,8,2412.9364490509033,477.65135765075684,2,0,0,0,0.5,[2.8, 1.8, 2.1, 2.5, 0.8],[-4.1, -3.1, -3.9, -2.1, -1.3]
1,35,17,5605.04937171936,1862.8590106964111,3,0,2,0,0.4,[3.6, 4.6, 2.9, 2.0, 4.7],[-0.9, -2.6, -0.2, -3.4, -3.6]
1,47,23,17973.804235458374,4231.472730636597,16,2,4,0,0.1,[2.1, 0.2, 3.3, 2.4, 4.8],[-4.1, -5.0, -3.6, -1.8, -2.3]
1,17,8,2322.0558166503906,482.8205108642578,1,0,0,0,0.8,[3.0, 2.9, 4.2, 0.6, 0.4],[-2.9, -3.1, -3.0, -1.4, -2.8]
1,17,8,2287.963628768921,483.64734649658203,2,0,0,0,0.8,[2.6, 2.1, 0.3, 1.3, 1.1],[-3.3, -4.8, -2.8, -2.3, -1.3]
2,18,9,6741.950511932373,516.5121555328369,6,0,0,2,0.8,[4.6, 4.3, 2.3, 2.0, 1.8],[-3.4, -2.2, -1.2, -4.7, -1.1]
1,65,32,30050.623655319214,3890.791177749634,19,0,4,6,0.0,[0.8, 2.6, 3.1, 3.7, 2.6],[-0.5, -1.7, -2.1, -3.7, -0.4]
2,18,9,6914.26944732666,493.55483055114746,6,0,0,2,0.7,[2.2, 1.6, 2.8, 1.7, 4.1],[-1.9, -1.8, -3.5, -4.7, -1.3]
1,25,12,4766.070604324341,1184.5879554748535,4,0,2,0,0.1,[1.4, 0.2, 4.7, 0.8, 2.3],[-1.0, -3.7, -0.8, -2.3, -4.4]
1,35,17,9502.85530090332,2839.7457599639893,7,1,4,4,0.9,[1.1, 3.2, 0.1, 3.3, 0.9],[-3.8, -4.8, -2.7, -3.9, -2.5]
1,85,42,45009.47070121765,12625.864267349243,28,8,6,4,0.9,[3.5, 2.8, 1.6, 3.9, 2.7],[-0.5, -4.3, -2.9, -0.4, -4.1]
1,41,20,20945.8270072937,11593.440532684326,10,6,2,0,0.4,[1.7, 0.1, 3.1, 2.2, 4.3],[-4.2, -0.4, -4.5, -1.2, -1.7]
1,37,18,7990.689754486084,2641.982078552246,7,1,4,0,0.1,[3.9, 4.3, 0.8, 1.2, 2.3],[-0.4, -1.3, -2.5, -4.9, -0.7]
1,55,27,30229.033946990967,12552.074909210205,16,8,8,6,0.5,[0.2, 4.1, 0.8, 4.4, 1.4],[-1.6, -1.7, -4.0, -2.4, -3.2]
2,64,32,22086.67230606079,6212.62264251709,14,3,6,10,0.6,[0.9, 4.7, 1.5, 4.1, 0.6],[-3.0, -4.6, -0.0, -4.3, -4.1]
1,45,22,12023.79035949707,3759.0832710266113,9,1,8,4,0.9,[0.3, 3.3, 0.6, 2.3, 1.6],[-4.6, -0.1, -1.0, -3.1, -3.7]
1,59,29,34375.77962875366,7486.672878265381,20,4,2,0,0.7,[2.2, 2.0, 4.9, 4.7, 3.5],[-3.4, -2.6, -3.6, -5.0, -1.1]
1,51,25,26417.00315475464,2652.8842449188232,20,0,4,6,0.2,[3.9, 0.8, 0.4, 0.6, 2.8],[-1.6, -3.1, -1.9, -1.3, -0.5]
1,59,29,21195.303916931152,4303.298234939575,17,1,12,8,0.9,[0.6, 4.7, 3.0, 4.6, 3.0],[-0.1, -1.6, -0.3, -3.5, -4.0]
1,39,19,20578.261852264404,2375.3914833068848,13,1,2,2,0.8,[2.1, 3.3, 1.7, 0.9, 3.7],[-2.5, -3.9, -3.0, -4.3, -2.8]
1,35,17,11485.26906967163,2664.6268367767334,12,1,2,2,0.6,[3.9, 0.4, 1.6, 3.2, 4.1],[-3.6, -1.9, -4.7, -3.6, -2.5]
1,57,28,26252.504348754883,3122.222423553467,16,0,4,4,0.2,[0.6, 4.7, 2.9, 3.6, 3.1],[-2.9, -4.0, -5.0, -3.7, -4.7]
1,57,28,19512.459754943848,3215.3732776641846,13,0,4,2,0.8,[1.3, 3.8, 4.6, 0.2, 4.7],[-4.7, -2.6, -1.4, -1.8, -3.2]
1,35,17,14114.253759384155,3713.284969329834,11,3,4,0,0.9,[1.3, 4.1, 2.4, 0.8, 1.1],[-3.1, -0.3, -3.2, -3.4, -1.0]
1,29,14,6425.213098526001,1085.0389003753662,6,0,2,2,0.8,[3.2, 2.9, 0.3, 1.8, 2.1],[-2.7, -4.5, -4.9, -4.4, -4.7]
2,44,22,12978.011131286621,2306.6577911376953,13,0,0,4,0.8,[1.8, 0.2, 4.7, 3.4, 4.5],[-3.9, -0.3, -2.6, -4.6, -3.8]
2,56,28,32864.9001121521,2599.109888076782,20,1,2,8,0.8,[4.8, 4.4, 1.3, 3.8, 4.8],[-0.9, -1.7, -0.5, -0.1, -1.7]
2,18,9,7728.198051452637,529.6773910522461,7,0,0,2,0.1,[2.1, 0.2, 4.7, 2.6, 0.7],[-2.4, -2.9, -1.0, -1.8, -0.2]
2,54,27,36220.359563827515,2240.0636672973633,24,0,2,8,1.0,[4.9, 2.5, 1.0, 0.7, 3.2],[-2.9, -1.6, -3.7, -0.1, -1.3]
1,45,22,13032.010078430176,6253.4019947052,11,4,8,2,0.6,[0.5, 0.4, 0.1, 1.5, 3.2],[-4.5, -0.1, -1.4, -1.9, -4.9]
1,43,21,14662.692546844482,2551.166296005249,12,0,10,4,0.7,[1.2, 4.6, 4.8, 0.9, 4.1],[-0.7, -0.4, -0.8, -3.3, -2.6]
1,47,23,11488.266229629517,4109.6038818359375,9,3,0,0,0.5,[2.8, 4.9, 2.4, 3.4, 3.3],[-0.1, -4.8, -3.9, -2.9, -3.5]
1,17,8,4139.258146286011,500.3836154937744,2,0,0,0,0.5,[1.2, 0.1, 1.5, 0.3, 0.3],[-1.9, -4.9, -1.5, -4.5, -1.7]
1,85,42,38155.37071228027,16111.50074005127,25,13,12,2,0.7,[1.8, 1.3, 2.7, 3.6, 3.5],[-3.2, -1.6, -0.2, -4.6, -3.9]
1,27,13,4308.321475982666,1111.964464187622,4,0,2,0,0.1,[0.3, 3.0, 4.7, 3.7, 0.2],[-3.1, -0.3, -0.5, -0.0, -1.2]
1,27,13,3499.8748302459717,2452.4271488189697,2,1,4,2,0.2,[2.4, 2.8, 2.1, 3.5, 0.5],[-4.5, -4.3, -0.8, -3.7, -1.5]
1,57,28,28131.890058517456,6320.850133895874,20,6,0,0,1.0,[0.8, 0.9, 3.1, 1.0, 2.3],[-1.7, -2.5, -4.3, -2.8, -5.0]
1,37,18,7292.041778564453,2905.9360027313232,7,1,4,0,1.0,[0.0, 2.5, 1.1, 0.0, 0.3],[-2.8, -1.0, -3.6, -0.9, -4.0]
2,46,23,25521.58546447754,3152.991771697998,19,1,4,8,0.4,[3.0, 1.8, 0.7, 3.4, 1.9],[-1.4, -3.3, -2.7, -2.6, -3.6]
2,42,21,22172.710418701172,2390.007495880127,17,1,2,4,0.5,[4.2, 0.4, 2.0, 0.2, 1.1],[-3.0, -2.9, -3.4, -0.8, -3.5]
1,53,26,22655.080795288086,4461.265802383423,17,0,6,2,0.8,[2.6, 4.6, 4.6, 2.5, 3.4],[-1.7, -2.4, -0.4, -2.3, -3.8]
1,37,18,18407.357454299927,2329.0395736694336,12,1,2,2,0.6,[2.7, 4.5, 1.6, 3.6, 3.8],[-2.2, -4.7, -3.5, -3.6, -1.0]
1,29,14,6678.9703369140625,2228.0023097991943,6,0,0,0,1.0,[1.5, 0.4, 1.5, 1.1, 0.6],[-1.1, -0.8, -1.3, -3.5, -3.2]
1,17,8,2475.5804538726807,503.74817848205566,2,0,0,0,1.0,[2.8, 3.7, 2.6, 1.0, 0.8],[-3.6, -2.9, -4.5, -4.1, -4.0]
2,56,28,34649.810791015625,5020.294189453125,20,2,4,10,0.4,[3.1, 0.4, 1.9, 2.0, 4.6],[-0.1, -4.7, -4.8, -2.2, -2.8]
1,57,28,19517.723321914673,5438.986539840698,14,2,8,0,0.5,[3.3, 1.2, 4.9, 3.0, 3.7],[-4.1, -4.8, -0.3, -2.6, -3.1]
1,43,21,8508.318185806274,3273.0026245117188,7,1,4,0,0.7,[2.8, 1.2, 3.9, 1.1, 4.8],[-1.5, -0.1, -2.8, -2.8, -1.6]
